version,No of total tests,No of new tests,Min,Max,Average,Median
V20,394,394,0,0,0,0
V30,826,498,1,1,1,1
V35,965,311,1,2,1.3853211009,1
V36,982,35,1,3,1.9503695882,2
V40,1119,298,2,5,3.8989037759,4
V50,1071,3,1,6,3.8623595506,4
V60,1126,3,1,7,4.8655387355,6
V70,1126,1,1,8,5.8568888889,6
V80,1126,2,2,9,6.859430605,7.5
V90,1126,1,1,10,7.8533333333,8
V10,1122,1,2,11,8.8492417484,9
V11,1124,3,3,12,9.8492417484,10
V12,1124,1,1,13,10.8317008014,11
V13,1192,67,2,14,11.8293333333,12
V14,1256,69,1,15,12.1937657961,13
